Type,Europe,France,Germany,Italy,Spain,UK,Turkey
Case,21,1,0,14,1,4,1
Case,85,2,0,76,2,4,2
Case,146,4,2,129,6,4,2
Case,255,7,6,226,11,4,2
Case,412,28,32,319,24,7,18
Case,534,47,42,397,33,9,47
Case,918,90,96,647,65,14,98
Case,1237,120,114,885,82,27,191
Case,1588,168,142,1125,113,31,359
Case,2270,202,181,1686,150,42,670
Case,2643,275,247,1832,199,76,947
Case,3679,413,385,2499,260,106,1236
Case,4903,603,669,3086,373,154,1529
Case,6043,706,832,3855,429,197,1872
Case,7526,1116,887,4633,588,264,2433
Case,9959,1402,1124,5880,1203,312,
Case,12498,1774,1281,7372,1638,364,
Case,15659,2271,1552,9169,2139,447,
Case,19045,2866,2354,10146,3003,581,
Case,24200,3651,3047,12459,4230,698,
Case,30439,4489,3780,15110,5752,1131,
Case,37276,5413,4823,17657,7752,1382,
Case,41350,6623,5997,17747,9190,1534,
Case,52382,7720,7141,23977,11177,1941,
Case,62052,9124,8183,27977,13715,2621,
Case,77701,10985,14123,31503,17146,3268,
Case,91148,12602,18172,35710,19979,3974,
Case,107745,14449,21448,41032,24925,5009,
Case,123100,16008,24759,47018,28571,5674,
Case,143788,19846,29197,53575,33088,6641,
Death,2,0,0,2,0,0,0
Death,6,0,0,6,0,0,0
Death,11,0,0,11,0,0,0
Death,13,1,0,12,0,0,0
Death,18,1,0,17,0,0,0
Death,22,1,0,21,0,0,0
Death,30,1,0,29,0,0,0
Death,37,1,0,35,0,0,1
Death,58,2,0,52,0,0,4
Death,92,3,0,80,0,0,9
Death,132,3,0,107,1,0,21
Death,188,6,0,148,3,1,30
Death,248,8,0,197,5,1,37
Death,249,9,0,233,5,2,44
Death,392,18,0,366,5,3,59
Death,528,29,2,464,28,5,
Death,706,32,2,631,35,6,
Death,930,47,3,827,47,6,
Death,1175,60,5,1016,84,10,
Death,1482,78,5,1268,121,10,
Death,1696,90,8,1441,136,21,
Death,2272,126,12,1811,288,35,
Death,2682,147,13,2158,309,55,
Death,3243,174,13,2505,491,60,
Death,3935,243,13,2978,598,103,
Death,4732,371,43,3407,767,144,
Death,5705,449,45,4032,1002,177,
Death,7014,561,67,4827,1326,233,
Death,8244,673,94,5476,1720,281,
Death,9579,859,126,6077,2182,335,
